Sign;место исполненения;H1 FingerSelection;H1 Aperture;H1 Curve;H1 Focus;H1 Spread;H2 FingerSelection;H2 Aperture;H2 Curve;H2 Spread;Type;H1 Unselected fingers;H2 Unselected fingers;H1 Facing;H1 Internal movement;Joint movement;H2 Facing;H1 articulator type;H2 articulator type;Symmetry
отбросы;neutral;1-st;closed-open;fist/straight;;;;;;;Type 1;flexed;;;;;;;;
приносить;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
сосредоточиться;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
исповедь?;body;all;;bent/straight;;pointed;;;;;Type 1;;;;;;;;;
честный;neutral;1-st/2-nd;closed;bent;;;;;;;Type 1;flexed;;;;;;;;
поздравлять, здороваться;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
хвойный;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
утешать, успокаивать;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
соглашаться;neutral;thumb/1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
квалификация, специальность;neutral;1-st/2-nd;;fist/straight;;wide;;;;;Type 1;flexed;;;;;;;;
противоречие;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
разговаривать;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
судить;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
кукуруза;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
совпадение;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
косметика;body;2-nd;;bent;;;;;;;Type 1;straight;;;;;;;;
костюм;body;1-st/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
подделка;body;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
камбинезон;body;1-st/2-nd;open-closed;straight/bent;;wide;;;;;Type 1;flexed;;;;;;;;
жадность;neutral;all;open-closed;curved/fist;;wide;;;;;Type 1;;;;;;;;;
молоко;neutral;1-st;open-closed;straight/bent;;;;;;;Type 1;flexed;;;;;;;;
трусливо;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
столкнуться;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
несчастный случай;neutral;3-rd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
инвалид;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
корабль;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
крошка;neutral;1-st;closed;curved;;;;;;;Type 1;flexed;;;;;;;;
таможня;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
столовые приборы;body;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
постоянно;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
влажный;neutral;2-nd;open-closed;curved;;;;;;;Type 1;straight;;;;;;;;
танцевать;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
день;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
опасный;neutral;1-st/2-nd;;fist/straight;;wide;;;;;Type 1;flexed;;;;;;;;
опадать, падать;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
поглощенный мыслями?;body;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
форма;neutral;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
деградация;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
задерживать;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
тонкий;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
избавление;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
густой, плотный;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
лекарства;body;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
порочность;body;1-st/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
заместитель;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
описать;neutral;1-st;closed-open;curved;;;;;;;Type 1;straight;;;;;;;;
уважение;neutral;thumb/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
изобретать;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
создать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
отличаться;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
тело;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
старательность;body;all;;fist;;;;;;;Type 1;;;;;;;;;
исчезать;body;all;closed;bent/fist;;;;;;;Type 1;;;;;;;;;
порядок;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
открытие;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
отвартительный;body;2-nd;;bent;;;;;;;Type 1;straight;;;;;;;;
путаться;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
осел;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
чертить;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
одежда;body;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
барабан;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
музыка;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
военный;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
ненужное?;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
избавляться;neutral;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
электронная почта;neutral;all;closed-open;curved;;wide;;;;;Type 1;;;;;;;;;
кипеть;neutral;all;;bent/alternating bending;;wide;;;;;Type 1;;;;;;;;;
натягивать;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
вышивать2;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
влюбленный;body;all;;straight/curved;;wide;;;;;Type 1;;;;;;;;;
двигатель;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
равенство;neutral;all;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
интернет;neutral;2-nd;;bent;;;;;;;Type 1;straight;;;;;;;;
экзамен;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
эскаватор;neutral;all;;straight/curved;;wide;;;;;Type 1;;;;;;;;;
преувеличивать;neutral;thumb/1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
возбужденный;body;all;;straight;;wide;;;;;Type 1;;;;;;;;;
устать, усталость;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
выставка;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
магия;body;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
сельское хозяйство;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
пукать;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
толстый;body;all;;straight;;wide;;;;;Type 1;;;;;;;;;
слабость;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
жених, невеста;neutral;thumb/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
практика;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
конец;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
подходящий;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
жидкость;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
флейта;body;all;;bent/alternating bending;;pointed;;;;;Type 1;;;;;;;;;
футбол;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
трава;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
стебель;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
свободный;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
испуг;body;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
мебель;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
генерал;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
общий;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
поколение;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
отъезд;neutral;1-st;open-closed;straight/bent;;;;;;;Type 1;flexed;;;;;;;;
идти;neutral;all;;curved;;pointed;;;;;Type 1;;;;;;;;;
правительство;neutral;1-st/2-nd/3-rd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
схватить;neutral;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
жадность2;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
жадность3;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
серый;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
стонать, кричать;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
ворчать;body;1-st/2-nd;open-closed;bent;;pointed;;;;;Type 1;flexed;;;;;;;;
сопровождать2;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
сопровождать3;neutral;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
ружье;neutral;1-st;;straight/curved;;;;;;;Type 1;flexed;;;;;;;;
машина;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
мелочь;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
счастливый;neutral;1-st/2-nd;open-closed;straight/bent;;wide;;;;;Type 1;flexed;;;;;;;;
наушники;body;1-st;closed;bent;;;;;;;Type 1;straight;;;;;;;;
здоровье;body;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
следующий?;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
наследство?;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
увоекаться;body;all;;straight;;wide;;;;;Type 1;;;;;;;;;
ехать на велосипеде;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
хиджаб;body;all;open;curved;;pointed;;;;;Type 1;;;;;;;;;
ислам;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
нет, не имеется;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
безнадежный 1 слог;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
безнадежный 2 слог;body;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
лошадь;body;all;;straight;;wide;;;;;Type 1;;;;;;;;;
жизнь;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
враждебный;body;all;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
гостиница;neutral;1-st;;straight/curved;;;;;;;Type 1;flexed;;;;;;;;
дом;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
планета, Земля;neutral;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
стрелять;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
иллюзия;body;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
представлять 2 слог;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
пропитываться;neutral;all;open;straight/curved;;wide;;;;;Type 1;;;;;;;;;
готовиться;body;thumb;;straight;;;;;;;Type 1;straight;;;;;;;;
свой?;neutral;all;closed;curved;;;;;;;Type 1;;;;;;;;;
случай;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
продавать;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
младенец;neutral;all;open;curved;;pointed;;;;;Type 1;;;;;;;;;
влиять;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
насекомые;neutral;all;;curved/alternating bending;;wide;;;;;Type 1;;;;;;;;;
интегрировать;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
приглашать;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
противоречие?;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
чехол;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
ревнивый;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
сборка;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
ряд?;neutral;all;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
оправдывать;body;2-nd;;bent;;;;;;;Type 1;straight;;;;;;;;
следить;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
важный;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
кот;body;all;;bent/alternating bending;;wide;;;;;Type 1;;;;;;;;;
панталоны;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
право;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
закон;neutral;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
пожар;neutral;1-st/2-nd/3-rd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
тушить;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
фары;neutral;all;closed-open;curved/straight;;wide;;;;;Type 1;;;;;;;;;
хромать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
искать;neutral;1-st/2-nd;;curved;;wide;;;;;Type 1;flexed;;;;;;;;
магнит;neutral;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
управлять;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
маршировать;neutral;all;;straight/bent;;pointed;;;;;Type 1;;;;;;;;;
рынок;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
болото;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
выдержанный;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
механизм;neutral;all;;curved;;wide;;;;;Type 1;;;;;;;;;
встречаться;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
информация;body;1-st;;straight/curved;;;;;;;Type 1;flexed;;;;;;;;
веселый;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
;377;;;;;;;;;;;;;;;;;;;
;108;;;;;;;;;;;;;;;;;;;
