"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"331","5339--сохранение--сохранение.eaf","сохранять","Type 3","all","curved/fist","open-closed","pointed","","root","ulnar","all","straight","","pointed","","palm"
"337","5462--копировать--копировать.eaf","копировать","Type 3","1-st/2-nd","straight/bent","open-closed","pointed","flexed","root","palm","all","straight","","pointed","","palm"
"347","5620--ползанье--ползанье.eaf","ползать","Type 3","1-st","straight/curved","","","flexed","tips","palm","all","straight","","pointed","","back"
"359","5918--приказать--приказать.eaf","приказать","Type 3","all","fist/straight","","pointed","","palm","root","all","fist","","","","back"
"361","6013--отвергать, отказывать--отвергать, отказывать.eaf","отвергать","Type 3","all","bent/straight","","pointed","","tips","tips/palm","all","straight","","pointed","","palm"
"387","6411--дверь--дверь.eaf","дверь","Type2","all","straight/bent","","pointed","","","tips","all","straight","","pointed","","tips"
"399","6759--уничтожать--уничтожать.eaf","уничтожать","Type 3","all","straight/fist","","wide","","tips","palm","all","straight","","pointed","","palm"
"400","6766--сбежать--сбежать.eaf","сбежать1","Type 3","1-st/2-nd","curved/straight","closed-open","wide","flexed","","back","all","straight","","pointed","","palm"
"402","6813--водоэмульсионная краска--водоэмульсионная краска.eaf","краска","Type 3","all","straight/bent","","pointed","","palm/back","tips","all","straight","","pointed","","palm"
"405","6866--полностью--полностью.eaf","полностью","Type 3","3-rd","bent/straight","","","straight","palm","palm","all","straight","","pointed","","back"
"420","7108--расширение--MVI_6974.eaf","расширение","Type2","1-st","bent/straight","closed-open","","flexed","ulnar","radial","1-st","bent","closed","","flexed","radial"
"430","7241--льстить, подхалимничать--MVI_7132.eaf","льстить","Type 3","all","bent/straight","","pointed","","","tips","all","straight","","pointed","","palm"
"433","7376--кончики пальцев--MVI_7307.eaf","","Type 3","1-st","bent","open-closed","","flexed","radial","palm","1-st","straight","","","flexed","tips"
"446","7743--мех--MVI_7800.eaf","мех","Type 3","all","straight/bent","open-closed","wide","","back","palm","all","straight","","pointed","","back"
"451","7951--выходить--MVI_8068.eaf","выходить","Type 3","all","bent/straight","","pointed","","tips","back","all","straight","","pointed","","palm"
"456","8046--виноград--MVI_8188.eaf","виноград","Type 3","all","curved","open-closed","wide","","back","palm","all","curved","open","wide","","palm"
"458","8115--земля почва--MVI_8282.eaf","земля","Type 3","all","bent","open-closed","wide","","back","palm","4-th","straight","","","flexed","tips"
"463","8384--ежик--MVI_8679.eaf","еж","Type 3","all","curved/straight","closed-open","wide","","radial","root","all","curved","closed","","","back"
"479","8850--индуктивность, самоиндукция--MVI_9431.eaf","накапливаться2","Type 3","all","bent/straight","closed-open","pointed","","","palm","all","straight","","pointed","","palm"
"498","9165--прыжки--MVI_9875 - копия.eaf","прыжки","Type 3","1-st/2-nd","straight/curved","","wide","flexed","root/tips","tips","all","straight","","pointed","","palm"
"502","9247--стоять на коленях--MVI_0007.eaf","встать на колени","Type 3","1-st/2-nd","straight/curved","","wide","flexed","","tips","all","straight","","pointed","","palm"
"508","9353--лист растения--лист растения.eaf","kbcn","Type2","1-st","curved","closed-open/closed","","flexed","back","palm","1-st","curved","closed","","flexed","palm"
"517","9586--лотерея--лотерея.eaf","лотерея","Type 3","all","bent","open-closed","wide","","back","radial","all","straight","","pointed","","palm"
"523","9720--маникюр--маникюр.eaf","маникюр","Type 3","1-st","straight/bent","","","flexed","","palm","all","straight","","pointed","","back"
"531","993--У меня бензин кончился--MVI_1428.eaf","кончиться","Type 3","1-st","straight/bent","open-closed","","flexed","","palm","all","straight","","pointed","","palm"
